index-entry-number,entry-number,entry-timestamp,key,register,download-link,text,registry,phase,copyright,fields
47,47,2018-02-28T09:32:23Z,government-domain,government-domain,https://www.registers.service.gov.uk/registers/government-domain/download/success,Government domains that appear on the gov.uk domain,cabinet-office,beta,,government-domain;hostname;organisation;start-date;end-date
46,46,2018-02-23T12:40:56Z,qualification-type,qualification-type,https://www.registers.service.gov.uk/registers/qualification-type/download/success,Types of qualification regulated by Ofqual,ofqual,beta,,qualification-type;name;start-date;end-date
45,45,2018-02-23T12:40:25Z,qualification-sector-subject-area,qualification-sector-subject-area,https://www.registers.service.gov.uk/registers/qualification-sector-subject-area/download/success,Subjects of qualifications regulated by Ofqual,ofqual,beta,,qualification-sector-subject-area;parent-qualification-sector-subject-area;name;start-date;end-date
44,44,2018-02-23T12:40:01Z,qualification-level,qualification-level,https://www.registers.service.gov.uk/registers/qualification-level/download/success,Levels of qualifications regulated by Ofqual,ofqual,beta,,qualification-level;name;qualification-sub-level;european-qualification-framework-level;start-date;end-date
43,43,2018-02-23T12:39:25Z,qualification-assessment-method,qualification-assessment-method,https://www.registers.service.gov.uk/registers/qualification-assessment-method/download/success,Assessment methods of qualifications regulated by Ofqual,ofqual,beta,,qualification-assessment-method;name;start-date;end-date
42,42,2018-02-20T12:35:00Z,local-authority-eng,local-authority-eng,https://www.registers.service.gov.uk/registers/local-authority-eng/download/success,Local authorities in England,ministry-of-housing-communities-and-local-government,beta,,local-authority-eng;local-authority-type;name;official-name;start-date;end-date
41,41,2018-02-20T12:34:00Z,local-authority-type,local-authority-type,https://www.registers.service.gov.uk/registers/local-authority-type/download/success,Types of local government organisations in the UK,ministry-of-housing-communities-and-local-government,beta,,local-authority-type;name;start-date;end-date
40,40,2018-02-20T08:51:09Z,jobcentre-group,jobcentre-group,https://www.registers.service.gov.uk/registers/jobcentre-group/download/success,Groups of jobcentre offices,department-for-work-pensions,beta,,jobcentre-group;name;start-date;end-date
39,39,2018-02-20T08:50:51Z,jobcentre-district,jobcentre-district,https://www.registers.service.gov.uk/registers/jobcentre-district/download/success,Districts of jobcentre offices,department-for-work-pensions,beta,,jobcentre-district;name;jobcentre-group;start-date;end-date
38,38,2018-02-20T08:50:23Z,jobcentre,jobcentre,https://www.registers.service.gov.uk/registers/jobcentre/download/success,"Jobcentre offices in England, Scotland and Wales",department-for-work-pensions,beta,,jobcentre;name;jobcentre-district;address;start-date;end-date
37,37,2018-02-15T09:59:38Z,statistical-geography-local-government-district-nir,statistical-geography-local-government-district-nir,https://www.registers.service.gov.uk/registers/statistical-geography-local-government-district-nir/download/success,Statistical geography data for local government districts in Northern Ireland,office-for-national-statistics,beta,,statistical-geography-local-government-district-nir;local-authority-nir;start-date;end-date
36,36,2017-12-20T10:01:36Z,allergen,allergen,https://www.registers.service.gov.uk/registers/allergen/download/success,Allergens referenced in Food Standards Agency food safety alerts,food-standards-agency,beta,,allergen;name;allergen-group;start-date;end-date
35,35,2017-12-18T08:25:02Z,statistical-geography-unitary-authority-eng,statistical-geography-unitary-authority-eng,https://www.registers.service.gov.uk/registers/statistical-geography-unitary-authority-eng/download/success,Statistical geography data for a unitary authority in England,office-for-national-statistics,beta,,statistical-geography-unitary-authority-eng;local-authority-eng;start-date;end-date
34,34,2017-12-18T08:24:34Z,statistical-geography-non-metropolitan-district-eng,statistical-geography-non-metropolitan-district-eng,https://www.registers.service.gov.uk/registers/statistical-geography-non-metropolitan-district-eng/download/success,Statistical geography data for non-metropolitan councils in England,office-for-national-statistics,beta,,statistical-geography-non-metropolitan-district-eng;local-authority-eng;name;start-date;end-date
33,33,2017-12-18T08:24:12Z,statistical-geography-registration-district-wls,statistical-geography-registration-district-wls,https://www.registers.service.gov.uk/registers/statistical-geography-registration-district-wls/download/success,Statistical geography data for registration districts in Wales,office-for-national-statistics,beta,,statistical-geography-registration-district-wls;registration-district;name;name-cy;start-date;end-date
32,32,2017-12-18T08:23:48Z,statistical-geography-registration-district-eng,statistical-geography-registration-district-eng,https://www.registers.service.gov.uk/registers/statistical-geography-registration-district-eng/download/success,Statistical geography data for registration districts in England,office-for-national-statistics,beta,,statistical-geography-registration-district-eng;registration-district;name;start-date;end-date
31,31,2017-12-18T08:23:20Z,statistical-geography-metropolitan-district-eng,statistical-geography-metropolitan-district-eng,https://www.registers.service.gov.uk/registers/statistical-geography-metropolitan-district-eng/download/success,Statistical geography data for metropolitan councils in England,office-for-national-statistics,beta,,statistical-geography-metropolitan-district-eng;local-authority-eng;start-date;end-date
30,30,2017-12-18T08:22:57Z,statistical-geography-london-borough-eng,statistical-geography-london-borough-eng,https://www.registers.service.gov.uk/registers/statistical-geography-london-borough-eng/download/success,Statistical geography data for London boroughs in England,office-for-national-statistics,beta,,statistical-geography-london-borough-eng;local-authority-eng;start-date;end-date
29,29,2017-12-18T08:22:36Z,statistical-geography-county-eng,statistical-geography-county-eng,https://www.registers.service.gov.uk/registers/statistical-geography-county-eng/download/success,Statistical geography data for counties in England,office-for-national-statistics,beta,,statistical-geography-county-eng;local-authority-eng;name;start-date;end-date
28,28,2017-12-07T13:31:48Z,local-authority-nir,local-authority-nir,https://www.registers.service.gov.uk/registers/local-authority-nir/download/success,Local authorities in Northern Ireland,department-for-communities-northern-ireland,beta,,local-authority-nir;local-authority-type;name;website;start-date;end-date
27,27,2017-10-03T15:49:32Z,prison-estate,prison-estate,https://www.registers.service.gov.uk/registers/prison-estate/download/success,Prison estates in England and Wales as defined by HM Prison and Probation Service,ministry-of-justice,beta,,prison-estate;name;start-date;end-date
26,26,2017-09-25T08:17:40Z,statistical-geography,statistical-geography,https://www.registers.service.gov.uk/registers/statistical-geography/download/success,Geographies that are used in compiling official statistics,office-for-national-statistics,beta,,statistical-geography;name;area;organisation;register;start-date;end-date
25,25,2017-09-25T08:17:15Z,statistical-geography-unitary-authority-wls,statistical-geography-unitary-authority-wls,https://www.registers.service.gov.uk/registers/statistical-geography-unitary-authority-wls/download/success,Statistical geography data for principal local authorities in Wales,office-for-national-statistics,beta,,statistical-geography-unitary-authority-wls;principal-local-authority;start-date;end-date
23,23,2017-07-14T15:21:24Z,registration-district,registration-district,https://www.registers.service.gov.uk/registers/registration-district/download/success,"Districts in England and Wales responsible for recording births, marriages, deaths or civil partnerships for the purpose of registration acts",hm-passport-office,beta,,registration-district;name;name-cy;start-date;end-date
20,20,2017-07-14T15:18:57Z,internal-drainage-board,internal-drainage-board,https://www.registers.service.gov.uk/registers/internal-drainage-board/download/success,Public bodies in England that manage drainage systems,department-for-environment-food-rural-affairs,beta,,internal-drainage-board;name;legislation;start-date;end-date
19,19,2017-07-14T15:18:13Z,datatype,datatype,https://www.registers.service.gov.uk/registers/datatype/download/success,Forms that the data in a register field can take,cabinet-office,beta,,datatype
18,18,2017-07-14T15:05:33Z,register,register,https://www.registers.service.gov.uk/registers/register/download/success,Registers maintained by the UK government,cabinet-office,beta,,register;text;registry;phase;copyright;fields
17,17,2017-07-07T10:51:15Z,principal-local-authority,principal-local-authority,https://www.registers.service.gov.uk/registers/principal-local-authority/download/success,Principal local authorities in Wales,welsh-government,beta,,principal-local-authority;name;name-cy;official-name;official-name-cy;start-date;end-date
16,16,2017-05-25T07:52:39Z,local-authority-sct,local-authority-sct,https://www.registers.service.gov.uk/registers/local-authority-sct/download/success,Local authorities in Scotland,the-scottish-government,beta,,local-authority-sct;local-authority-type;name;official-name;start-date;end-date
12,12,2017-05-03T13:19:02Z,government-service,government-service,https://www.registers.service.gov.uk/registers/government-service/download/success,Government services that have a government service domain,government-digital-service,beta,,government-service;hostname;government-organisation;start-date;end-date
11,11,2017-04-27T13:52:32Z,government-organisation,government-organisation,https://www.registers.service.gov.uk/registers/government-organisation/download/success,"Government department, agency or teams that exist on GOV.UK",government-digital-service,beta,,government-organisation;name;website;start-date;end-date
8,8,2016-12-15T15:44:11Z,territory,territory,https://www.registers.service.gov.uk/registers/territory/download/success,"British English-language names and descriptive terms for political, administrative and geographical entities that arenâ€™t recognised as countries by the UK",foreign-commonwealth-office,beta,,territory;name;official-name;start-date;end-date
4,4,2016-08-04T14:45:41Z,field,field,https://www.registers.service.gov.uk/registers/field/download/success,Field names which may appear in a register,cabinet-office,beta,,field;datatype;phase;register;cardinality;text
2,2,2016-08-04T14:45:41Z,country,country,https://www.registers.service.gov.uk/registers/country/download/success,British English-language names and descriptive terms for countries,foreign-commonwealth-office,beta,,country;name;official-name;citizen-names;start-date;end-date
